t,y1,y2
48.7004,203.8689,203.6648
48.8004,203.8689,203.5955
48.9004,203.8689,203.5394
49.0004,205.0896,203.5687
49.1004,205.0896,203.6419
49.2004,200.2068,203.6761
49.3004,201.4275,203.7127
49.4004,205.0896,203.722
49.5004,200.2068,203.6995
49.6004,202.6482,203.7542
49.7004,201.4275,203.8367
49.8004,201.4275,203.8973
49.9004,201.4275,203.9183
50.0004,203.8689,203.9075
50.1004,205.0896,203.8968
50.2004,201.4275,203.8567
50.3004,205.0896,203.8294
50.4004,205.0896,203.8455
50.5004,205.0896,203.7864
50.6004,206.3104,203.6985
50.7004,202.6482,203.6614
50.8004,205.0896,203.6248
50.9004,202.6482,203.6321
51.0004,206.3104,203.66
51.1004,205.0896,203.6458
51.2004,202.6482,203.7205
51.3004,203.8689,203.7303
51.4004,203.8689,203.742
51.5004,203.8689,203.6883
51.6004,201.4275,203.6697
51.7004,202.6482,203.6463
51.8004,201.4275,203.5906
51.9004,201.4275,203.4891
52.0004,203.8689,203.4222
52.1004,202.6482,203.4095
52.2004,202.6482,203.4056
52.3004,203.8689,203.3558
52.4004,202.6482,203.2894
52.5004,202.6482,203.2562
52.6004,203.8689,203.2542
52.7004,205.0896,203.2566
52.8004,203.8689,203.2996
52.9004,203.8689,203.3328
53.0004,203.8689,203.3729
53.1004,205.0896,203.4324
53.2004,202.6482,203.3924
53.3004,205.0896,203.4632
53.4004,203.8689,203.5335
53.5004,205.0896,203.6346
53.6004,202.6482,203.7039
53.7004,201.4275,203.7259
53.8004,201.4275,203.7688
53.9004,203.8689,203.8587
54.0004,201.4275,203.8753
54.1004,205.0896,203.9007
54.2004,201.4275,204.0125
54.3004,202.6482,204.0271
54.4004,203.8689,204.013
54.5004,203.8689,204.0257
54.6004,203.8689,204.0022
54.7004,202.6482,203.9568
54.8004,205.0896,203.9012
54.9004,205.0896,203.8797
55.0004,206.3104,203.8338
55.1004,205.0896,203.741
55.2004,202.6482,203.6399
55.3004,206.3104,203.6341
55.4004,203.8689,203.6307
55.5004,203.8689,203.5862
55.6004,202.6482,203.554
55.7004,206.3104,203.5701
55.8004,201.4275,203.5887
55.9004,202.6482,203.6258
56.0004,200.2068,203.7508
56.1004,200.2068,203.8875
56.2004,201.4275,203.8836
56.3004,200.2068,203.7908
56.4004,201.4275,203.741
56.5004,206.3104,203.7669
56.6004,205.0896,203.7693
56.7004,205.0896,203.8006
56.8004,203.8689,203.8304
56.9004,205.0896,203.8187
57.0004,203.8689,203.7342
57.1004,203.8689,203.6307
57.2004,205.0896,203.6556
57.3004,206.3104,203.7796
57.4004,207.5311,203.8699
57.5004,207.5311,203.8665
57.6004,202.6482,203.9222
57.7004,205.0896,203.9046
